"Term_ID","Term_Description","clusterProfiler_pvalue","clusterProfiler_sig_count","gProfiler2_pvalue","gProfiler2_sig_count","topGO_pvalue","topGO_sig_count","methods_included","methods_significant","mean_p_value"
"GO:0032502","developmental process",NA,NA,0.00908675089953843,21,NA,NA,1,1,0.00908675089953843
"GO:0048671","negative regulation of collateral sprout...",NA,NA,NA,NA,0.00909,8,1,1,0.00909
"GO:0097376","interneuron axon guidance",NA,NA,NA,NA,0.00909,8,1,1,0.00909
"GO:0007600","sensory perception",NA,NA,NA,NA,0.00932,818,1,1,0.00932
"GO:0050829","defense response to Gram-negative bacter...",NA,NA,NA,NA,0.00977,59,1,1,0.00977
"GO:0060259","regulation of feeding behavior",NA,NA,NA,NA,0.00983,31,1,1,0.00983
"GO:0048812","neuron projection morphogenesis",NA,NA,0.0105952017940244,7,NA,NA,1,1,0.0105952017940244
"GO:0010591","regulation of lamellipodium assembly",NA,NA,NA,NA,0.01063,23,1,1,0.01063
"GO:0007339","binding of sperm to zona pellucida",NA,NA,NA,NA,0.01106,29,1,1,0.01106
"GO:0050913","sensory perception of bitter taste",NA,NA,NA,NA,0.01106,29,1,1,0.01106
"GO:0071107","response to parathyroid hormone",NA,NA,NA,NA,0.01106,9,1,1,0.01106
"GO:0006936","muscle contraction",NA,NA,NA,NA,0.01158,170,1,1,0.01158
"GO:0009144","purine nucleoside triphosphate metabolic...",NA,NA,NA,NA,0.01215,129,1,1,0.01215
"GO:0045333","cellular respiration",NA,NA,NA,NA,0.0124,164,1,1,0.0124
